iter	Passed	Remaining
0	3	395
1	7	352
2	10	331
3	12	300
4	15	292
5	18	289
6	21	282
7	24	276
8	27	273
9	29	268
10	32	264
11	35	261
12	38	256
13	41	252
14	43	249
15	46	245
16	49	241
17	52	238
18	55	235
19	57	231
20	60	229
21	63	226
22	66	223
23	69	219
24	72	216
25	75	213
26	78	211
27	80	208
28	83	204
29	86	202
30	90	200
31	93	197
32	95	194
33	98	191
34	101	188
35	104	185
36	107	182
37	110	179
38	113	176
39	115	173
40	118	170
41	119	165
42	122	162
43	125	159
44	128	156
45	131	154
46	134	151
47	137	148
48	140	146
49	142	142
50	144	138
51	146	134
52	147	131
53	149	127
54	150	123
55	151	119
56	153	115
57	154	111
58	156	108
59	157	104
60	158	101
61	160	98
62	161	94
63	162	91
64	163	88
65	164	84
66	166	81
67	167	78
68	168	75
69	169	72
70	170	69
71	172	66
72	173	64
73	174	61
74	175	58
75	176	55
76	178	53
77	179	50
78	180	48
79	181	45
80	183	42
81	184	40
82	185	37
83	186	35
84	187	33
85	188	30
86	190	28
87	191	26
88	192	23
89	193	21
90	194	19
91	196	17
92	197	14
93	198	12
94	199	10
95	200	8
96	202	6
97	203	4
98	204	2
99	205	0
