iter	Passed	Remaining
0	157	157372
1	161	80726
2	166	55303
3	169	42321
4	173	34461
5	176	29212
6	180	25628
7	183	22806
8	187	20599
9	190	18826
10	194	17488
11	197	16297
12	201	15272
13	204	14397
14	208	13696
15	212	13050
16	215	12451
17	218	11917
18	222	11463
19	225	11063
20	228	10675
21	232	10328
22	235	10014
23	239	9753
24	243	9479
25	246	9219
26	249	8980
27	252	8768
28	256	8576
29	259	8385
30	262	8206
31	265	8039
32	269	7907
33	273	7758
34	276	7616
35	279	7484
36	283	7380
37	287	7266
38	290	7149
39	293	7043
40	296	6941
41	300	6858
42	303	6763
43	306	6664
44	308	6551
45	310	6446
46	313	6353
47	315	6248
48	316	6144
49	318	6043
50	319	5946
51	321	5855
52	322	5763
53	323	5672
54	325	5584
55	326	5505
56	327	5425
57	329	5346
58	330	5270
59	331	5196
60	332	5124
61	334	5056
62	335	4990
63	336	4926
64	338	4863
65	339	4804
66	340	4748
67	342	4690
68	343	4634
69	344	4579
70	345	4527
71	347	4477
72	348	4431
73	350	4386
74	351	4340
75	353	4297
76	355	4266
77	357	4222
78	358	4179
79	359	4137
80	361	4097
81	362	4057
82	363	4012
83	364	3973
84	365	3936
85	366	3899
86	368	3863
87	369	3829
88	371	3799
89	372	3765
90	373	3732
91	374	3700
92	376	3669
93	377	3638
94	378	3607
95	379	3578
96	381	3548
97	382	3520
98	383	3491
99	385	3467
100	386	3440
101	387	3413
102	389	3387
103	390	3363
104	391	3338
105	392	3313
106	394	3289
107	395	3265
108	396	3242
109	397	3219
110	399	3198
111	400	3177
112	402	3156
113	403	3134
114	404	3115
115	406	3097
116	407	3075
117	408	3055
118	410	3035
119	411	3015
120	412	2996
121	413	2975
122	415	2959
123	416	2941
124	417	2923
125	419	2907
126	420	2888
127	421	2871
128	422	2854
129	424	2837
130	425	2820
131	426	2804
132	427	2787
133	428	2772
134	430	2757
135	431	2743
136	433	2728
137	434	2713
138	435	2698
139	436	2684
140	438	2669
141	439	2652
142	440	2638
143	441	2624
144	442	2610
145	444	2598
146	445	2587
147	447	2574
148	448	2561
149	449	2548
150	450	2535
151	452	2523
152	453	2510
153	454	2498
154	455	2485
155	457	2474
156	458	2462
157	460	2452
158	461	2441
159	462	2429
160	463	2416
161	464	2404
162	466	2393
163	467	2382
164	468	2371
165	469	2360
166	471	2349
167	472	2339
168	473	2330
169	475	2321
170	476	2312
171	478	2303
172	479	2293
173	481	2283
174	482	2274
175	483	2264
176	484	2254
177	486	2244
178	487	2235
179	488	2226
180	490	2217
181	491	2208
182	492	2199
183	493	2190
184	495	2181
185	496	2172
186	497	2163
187	498	2154
188	500	2145
189	501	2137
190	502	2128
191	504	2121
192	505	2113
193	506	2104
194	507	2096
195	509	2088
196	510	2080
197	511	2071
198	512	2064
199	514	2056
200	515	2048
201	516	2040
202	517	2033
203	519	2025
204	520	2018
205	521	2011
206	523	2003
207	524	1996
208	525	1989
209	526	1981
210	528	1974
211	529	1967
212	530	1960
213	531	1953
214	533	1947
215	534	1941
216	536	1934
217	537	1927
218	538	1920
219	539	1913
220	541	1907
221	542	1900
222	543	1893
223	544	1887
224	546	1881
225	547	1874
226	549	1869
227	550	1863
228	551	1857
229	552	1850
230	554	1844
231	555	1838
232	556	1832
233	557	1826
234	559	1820
235	560	1814
236	561	1808
237	562	1801
238	564	1796
239	565	1790
240	566	1784
241	567	1778
242	569	1773
243	570	1767
244	571	1761
245	572	1756
246	574	1750
247	575	1744
248	576	1739
249	577	1733
250	579	1729
251	580	1723
252	581	1718
253	583	1712
254	584	1707
255	585	1702
256	586	1696
257	588	1691
258	589	1686
259	590	1681
260	592	1676
261	593	1672
262	595	1668
263	596	1663
264	597	1658
265	599	1653
266	600	1648
267	601	1643
268	602	1638
269	604	1633
270	605	1628
271	606	1623
272	607	1618
273	609	1614
274	610	1609
275	611	1604
276	612	1599
277	614	1595
278	616	1592
279	617	1587
280	618	1583
281	620	1578
282	621	1573
283	622	1569
284	623	1565
285	625	1560
286	626	1556
287	627	1551
288	629	1547
289	630	1543
290	631	1538
291	632	1534
292	634	1530
293	635	1525
294	636	1521
295	638	1517
296	639	1513
297	640	1509
298	642	1505
299	643	1501
300	644	1496
301	645	1492
302	647	1488
303	648	1484
304	649	1480
305	650	1476
306	652	1472
307	653	1469
308	655	1465
309	656	1461
310	658	1458
311	659	1454
312	660	1450
313	662	1446
314	663	1443
315	665	1439
316	666	1435
317	667	1431
318	669	1429
319	670	1425
320	672	1421
321	673	1418
322	674	1414
323	676	1410
324	677	1406
325	678	1402
326	679	1399
327	680	1395
328	682	1391
329	683	1388
330	685	1384
331	686	1381
332	687	1377
333	688	1373
334	690	1369
335	691	1366
336	692	1362
337	693	1358
338	694	1354
339	696	1351
340	697	1348
341	698	1344
342	700	1341
343	701	1337
344	702	1334
345	703	1330
346	705	1327
347	706	1323
348	707	1319
349	708	1316
350	709	1312
351	711	1309
352	712	1306
353	714	1303
354	715	1300
355	717	1297
356	718	1294
357	720	1291
358	721	1288
359	722	1285
360	724	1281
361	725	1278
362	726	1275
363	728	1272
364	729	1269
365	730	1266
366	732	1262
367	733	1259
368	734	1256
369	735	1252
370	737	1249
371	738	1246
372	739	1243
373	740	1240
374	742	1237
375	743	1234
376	744	1230
377	746	1227
378	747	1224
379	748	1221
380	749	1218
381	751	1215
382	752	1211
383	753	1208
384	754	1205
385	756	1203
386	758	1201
387	759	1198
388	761	1195
389	762	1192
390	763	1189
391	764	1186
392	766	1183
393	767	1180
394	768	1177
395	770	1174
396	771	1171
397	773	1169
398	774	1166
399	775	1163
400	777	1160
401	778	1158
402	779	1155
403	780	1152
404	782	1149
405	783	1146
406	784	1143
407	786	1141
408	787	1138
409	789	1135
410	790	1132
411	791	1130
412	793	1127
413	794	1124
414	795	1121
415	797	1119
416	798	1116
417	799	1113
418	800	1110
419	802	1108
420	803	1105
421	804	1102
422	806	1099
423	807	1096
424	808	1093
425	809	1091
426	811	1088
427	812	1085
428	813	1082
429	814	1080
430	816	1078
431	817	1075
432	819	1072
433	820	1069
434	821	1067
435	822	1064
436	824	1061
437	825	1059
438	826	1056
439	827	1053
440	829	1051
441	830	1048
442	832	1046
443	833	1043
444	834	1040
445	835	1038
446	837	1035
447	838	1032
448	839	1030
449	840	1027
450	842	1025
451	843	1022
452	844	1020
453	846	1018
454	848	1015
455	849	1013
456	850	1010
457	851	1007
458	853	1005
459	854	1002
460	855	1000
461	856	997
462	857	995
463	859	992
464	860	990
465	862	987
466	863	985
467	864	982
468	865	980
469	866	977
470	868	975
471	869	972
472	870	970
473	872	967
474	873	965
475	874	962
476	875	960
477	877	957
478	878	955
479	879	953
480	880	950
481	882	948
482	883	945
483	884	943
484	886	940
485	887	938
486	888	935
487	889	933
488	891	931
489	892	929
490	893	926
491	895	924
492	896	921
493	897	919
494	899	917
495	900	914
496	901	912
497	902	909
498	903	907
499	905	905
500	906	903
501	908	900
502	909	898
503	910	896
504	911	893
505	913	891
506	914	889
507	915	886
508	916	884
509	918	882
510	919	879
511	920	877
512	922	875
513	923	873
514	924	870
515	925	868
516	927	866
517	928	863
518	929	861
519	930	859
520	932	856
521	933	854
522	934	852
523	936	850
524	937	848
525	938	845
526	939	843
527	941	841
528	942	839
529	943	836
530	944	834
531	946	832
532	947	829
533	948	827
534	949	825
535	951	823
536	952	821
537	953	819
538	955	816
539	956	814
540	957	812
541	958	810
542	960	807
543	961	805
544	962	803
545	963	801
546	965	799
547	966	797
548	967	795
549	969	792
550	970	790
551	971	788
552	972	786
553	973	784
554	975	781
555	976	779
556	977	777
557	978	775
558	980	773
559	981	771
560	982	769
561	984	767
562	985	764
563	986	762
564	987	760
565	989	758
566	990	756
567	991	754
568	992	751
569	993	749
570	995	747
571	996	745
572	998	743
573	999	741
574	1000	739
575	1001	737
576	1003	735
577	1004	733
578	1005	731
579	1006	729
580	1008	727
581	1009	725
582	1011	723
583	1012	721
584	1013	719
585	1014	716
586	1015	714
587	1017	712
588	1018	710
589	1019	708
590	1020	706
591	1022	704
592	1023	702
593	1025	700
594	1026	698
595	1027	696
596	1028	694
597	1030	692
598	1031	690
599	1032	688
600	1033	686
601	1034	684
602	1036	682
603	1037	680
604	1038	678
605	1040	676
606	1041	674
607	1042	672
608	1043	670
609	1045	668
610	1046	666
611	1047	664
612	1048	662
613	1050	660
614	1051	658
615	1052	656
616	1053	654
617	1055	652
618	1056	650
619	1057	648
620	1059	646
621	1060	644
622	1061	642
623	1062	640
624	1064	638
625	1065	636
626	1067	634
627	1068	633
628	1071	631
629	1072	630
630	1073	628
631	1075	626
632	1076	624
633	1077	622
634	1078	620
635	1080	618
636	1081	616
637	1082	614
638	1083	612
639	1085	610
640	1086	608
641	1087	606
642	1089	604
643	1090	602
644	1091	600
645	1092	598
646	1094	596
647	1095	595
648	1096	593
649	1097	591
650	1099	589
651	1100	587
652	1102	585
653	1103	583
654	1104	581
655	1105	579
656	1107	577
657	1108	576
658	1109	574
659	1110	572
660	1111	570
661	1113	568
662	1114	566
663	1116	564
664	1117	563
665	1118	561
666	1120	559
667	1121	557
668	1122	555
669	1123	553
670	1125	551
671	1126	549
672	1127	547
673	1128	546
674	1130	544
675	1131	542
676	1132	540
677	1134	538
678	1135	536
679	1136	534
680	1137	532
681	1139	531
682	1140	529
683	1141	527
684	1143	525
685	1144	523
686	1145	522
687	1147	520
688	1148	518
689	1149	516
690	1151	514
691	1152	512
692	1153	511
693	1154	509
694	1156	507
695	1157	505
696	1158	503
697	1160	502
698	1161	500
699	1162	498
700	1164	496
701	1166	495
702	1167	493
703	1168	491
704	1169	489
705	1170	487
706	1172	485
707	1173	483
708	1174	482
709	1176	480
710	1177	478
711	1178	476
712	1179	474
713	1181	473
714	1182	471
715	1183	469
716	1184	467
717	1186	465
718	1187	464
719	1188	462
720	1190	460
721	1191	458
722	1192	456
723	1193	455
724	1195	453
725	1196	451
726	1198	449
727	1199	448
728	1200	446
729	1201	444
730	1203	442
731	1205	441
732	1206	439
733	1207	437
734	1208	435
735	1210	434
736	1211	432
737	1212	430
738	1213	428
739	1215	426
740	1216	425
741	1217	423
742	1219	421
743	1220	419
744	1221	418
745	1223	416
746	1224	414
747	1225	412
748	1226	411
749	1228	409
750	1229	407
751	1230	405
752	1231	404
753	1233	402
754	1234	400
755	1236	398
756	1237	397
757	1238	395
758	1239	393
759	1241	391
760	1242	390
761	1243	388
762	1244	386
763	1245	384
764	1247	383
765	1248	381
766	1250	379
767	1251	378
768	1252	376
769	1254	374
770	1255	372
771	1256	371
772	1257	369
773	1258	367
774	1260	365
775	1261	364
776	1262	362
777	1263	360
778	1265	358
779	1266	357
780	1267	355
781	1268	353
782	1270	351
783	1271	350
784	1272	348
785	1273	346
786	1274	345
787	1276	343
788	1277	341
789	1279	340
790	1280	338
791	1281	336
792	1282	334
793	1284	333
794	1285	331
795	1286	329
796	1287	327
797	1288	326
798	1290	324
799	1291	322
800	1292	321
801	1294	319
802	1295	317
803	1296	316
804	1298	314
805	1299	312
806	1300	311
807	1301	309
808	1302	307
809	1304	305
810	1305	304
811	1306	302
812	1308	300
813	1309	299
814	1310	297
815	1312	295
816	1313	294
817	1314	292
818	1315	290
819	1316	289
820	1318	287
821	1319	285
822	1320	284
823	1322	282
824	1323	280
825	1324	279
826	1326	277
827	1327	275
828	1328	274
829	1330	272
830	1331	270
831	1332	269
832	1333	267
833	1335	265
834	1336	264
835	1337	262
836	1339	260
837	1340	259
838	1341	257
839	1342	255
840	1344	254
841	1345	252
842	1346	250
843	1347	249
844	1349	247
845	1350	245
846	1351	244
847	1353	242
848	1354	240
849	1355	239
850	1356	237
851	1358	235
852	1359	234
853	1360	232
854	1361	230
855	1362	229
856	1364	227
857	1365	225
858	1366	224
859	1367	222
860	1369	221
861	1370	219
862	1371	217
863	1372	216
864	1373	214
865	1375	212
866	1376	211
867	1377	209
868	1378	207
869	1379	206
870	1381	204
871	1382	202
872	1383	201
873	1384	199
874	1386	198
875	1387	196
876	1388	194
877	1389	193
878	1390	191
879	1392	189
880	1393	188
881	1394	186
882	1395	184
883	1396	183
884	1398	181
885	1399	180
886	1400	178
887	1401	176
888	1403	175
889	1404	173
890	1405	171
891	1406	170
892	1408	168
893	1409	167
894	1410	165
895	1411	163
896	1413	162
897	1414	160
898	1415	159
899	1416	157
900	1417	155
901	1419	154
902	1420	152
903	1421	150
904	1423	149
905	1424	147
906	1426	146
907	1428	144
908	1429	143
909	1430	141
910	1431	139
911	1433	138
912	1434	136
913	1435	135
914	1436	133
915	1438	131
916	1439	130
917	1440	128
918	1442	127
919	1443	125
920	1444	123
921	1445	122
922	1447	120
923	1448	119
924	1449	117
925	1450	115
926	1452	114
927	1453	112
928	1454	111
929	1455	109
930	1457	107
931	1458	106
932	1459	104
933	1460	103
934	1462	101
935	1464	100
936	1465	98
937	1467	96
938	1468	95
939	1469	93
940	1471	92
941	1472	90
942	1473	89
943	1475	87
944	1476	85
945	1477	84
946	1478	82
947	1480	81
948	1481	79
949	1482	78
950	1484	76
951	1485	74
952	1487	73
953	1488	71
954	1489	70
955	1491	68
956	1492	67
957	1493	65
958	1495	63
959	1496	62
960	1497	60
961	1498	59
962	1500	57
963	1501	56
964	1502	54
965	1503	52
966	1505	51
967	1506	49
968	1507	48
969	1508	46
970	1510	45
971	1511	43
972	1512	41
973	1513	40
974	1515	38
975	1516	37
976	1518	35
977	1519	34
978	1520	32
979	1521	31
980	1523	29
981	1524	27
982	1525	26
983	1526	24
984	1528	23
985	1529	21
986	1530	20
987	1532	18
988	1533	17
989	1534	15
990	1536	13
991	1537	12
992	1538	10
993	1539	9
994	1541	7
995	1542	6
996	1543	4
997	1544	3
998	1546	1
999	1547	0
